track_album_release_year,feature,median,mean
2000,speechiness,0.0725,0.135
1994,danceability,0.69,0.6545
1994,loudness,0.1391,0.1452
1994,liveness,0.139,0.1966
1994,valence,0.593,0.5653
1994,energy,0.66,0.6553
1994,acousticness,0.0517,0.1283
1994,instrumentalness,0.0,0.0196
1994,speechiness,0.0577,0.1274
1992,danceability,0.705,0.684
1992,loudness,0.1629,0.1631
1992,liveness,0.1225,0.1784
1992,valence,0.64,0.6341
1992,energy,0.704,0.6686
1992,acousticness,0.052,0.123
1992,instrumentalness,0.0001,0.0194
1992,speechiness,0.056,0.1077
1997,danceability,0.6565,0.6347
1997,loudness,0.1256,0.1352
1997,liveness,0.1805,0.2901
1997,valence,0.548,0.5451
1997,energy,0.668,0.6517
1997,acousticness,0.0591,0.1544
1997,instrumentalness,0.0,0.0553
1997,speechiness,0.0498,0.1086
2001,danceability,0.6775,0.6582
2001,loudness,0.1042,0.1084
2001,liveness,0.138,0.1981
2001,valence,0.6225,0.5977
2001,energy,0.728,0.7076
2001,acousticness,0.0452,0.1409
2001,instrumentalness,0.0,0.0571
2001,speechiness,0.06,0.1111
2006,danceability,0.657,0.6348
2006,loudness,0.0981,0.1051
2006,liveness,0.1245,0.1971
2006,valence,0.601,0.584
2006,energy,0.7485,0.7173
2006,acousticness,0.0866,0.1775
2006,instrumentalness,0.0,0.0499
2006,speechiness,0.0594,0.1055
2002,danceability,0.659,0.6406
2002,loudness,0.1004,0.1099
2002,liveness,0.146,0.2014
2002,valence,0.584,0.5622
2002,energy,0.678,0.6793
2002,acousticness,0.0847,0.1866
2002,instrumentalness,0.0,0.0374
2002,speechiness,0.0741,0.1232
2003,danceability,0.6995,0.6644
2003,loudness,0.1024,0.1082
2003,liveness,0.1265,0.1811
2003,valence,0.661,0.6191
2003,energy,0.732,0.7046
2003,acousticness,0.1025,0.1815
2003,instrumentalness,0.0,0.0485
2003,speechiness,0.08,0.1451
2005,danceability,0.629,0.6196
2005,loudness,0.1056,0.1128
2005,liveness,0.161,0.2424
2005,valence,0.604,0.5873
2005,energy,0.741,0.7217
2005,acousticness,0.061,0.1595
2005,instrumentalness,0.0,0.0334
2005,speechiness,0.0744,0.1261
1990,danceability,0.66,0.651
1990,loudness,0.1673,0.1656
1990,liveness,0.12,0.155
1990,valence,0.657,0.6165
1990,energy,0.693,0.6775
1990,acousticness,0.0534,0.1465
1990,instrumentalness,0.0,0.0367
1990,speechiness,0.0455,0.0783
2004,danceability,0.687,0.671
2004,loudness,0.1056,0.111
2004,liveness,0.13,0.1902
2004,valence,0.617,0.5892
2004,energy,0.739,0.7078
2004,acousticness,0.0784,0.1613
2004,instrumentalness,0.0,0.0182
2004,speechiness,0.0929,0.1338
1988,danceability,0.677,0.6758
1988,loudness,0.1808,0.1768
1988,liveness,0.13,0.1676
1988,valence,0.669,0.6403
1988,energy,0.681,0.6566
1988,acousticness,0.0385,0.1264
1988,instrumentalness,0.0,0.0524
1988,speechiness,0.0444,0.0807
1984,danceability,0.5955,0.5926
1984,loudness,0.1202,0.1436
1984,liveness,0.136,0.1951
1984,valence,0.6755,0.6237
1984,energy,0.766,0.7155
1984,acousticness,0.1075,0.1948
1984,instrumentalness,0.0001,0.0172
1984,speechiness,0.0368,0.0454
1982,danceability,0.697,0.6543
1982,loudness,0.1384,0.1445
1982,liveness,0.127,0.1761
1982,valence,0.625,0.6255
1982,energy,0.627,0.6497
1982,acousticness,0.0815,0.1673
1982,instrumentalness,0.0001,0.0385
1982,speechiness,0.0403,0.0578
1973,danceability,0.504,0.4962
1973,loudness,0.1557,0.16
1973,liveness,0.147,0.2112
1973,valence,0.602,0.5914
1973,energy,0.673,0.654
1973,acousticness,0.251,0.2425
1973,instrumentalness,0.0003,0.0595
1973,speechiness,0.0409,0.0621
1979,danceability,0.5825,0.5777
1979,loudness,0.1392,0.1542
1979,liveness,0.0975,0.1408
1979,valence,0.719,0.6446
1979,energy,0.706,0.6748
1979,acousticness,0.0861,0.1677
1979,instrumentalness,0.0007,0.107
1979,speechiness,0.042,0.0484
1977,danceability,0.5455,0.5342
1977,loudness,0.1403,0.151
1977,liveness,0.141,0.2222
1977,valence,0.5395,0.57
1977,energy,0.694,0.6508
1977,acousticness,0.1045,0.2235
1977,instrumentalness,0.0003,0.0338
1977,speechiness,0.037,0.0536
1981,danceability,0.579,0.5697
1981,loudness,0.1481,0.1478
1981,liveness,0.139,0.1919
1981,valence,0.697,0.6651
1981,energy,0.7215,0.6968
1981,acousticness,0.112,0.1637
1981,instrumentalness,0.0014,0.1372
1981,speechiness,0.0407,0.053
1974,danceability,0.5305,0.5188
1974,loudness,0.165,0.1684
1974,liveness,0.125,0.2001
1974,valence,0.629,0.6148
1974,energy,0.637,0.6244
1974,acousticness,0.248,0.3207
1974,instrumentalness,0.0004,0.0394
1974,speechiness,0.0429,0.063
1970,danceability,0.5345,0.5313
1970,loudness,0.1677,0.1689
1970,liveness,0.1375,0.1823
1970,valence,0.594,0.6218
1970,energy,0.629,0.596
1970,acousticness,0.223,0.2782
1970,instrumentalness,0.0023,0.0675
1970,speechiness,0.0343,0.0523
1976,danceability,0.55,0.5422
1976,loudness,0.1478,0.1549
1976,liveness,0.126,0.1907
1976,valence,0.64,0.6115
1976,energy,0.657,0.6281
1976,acousticness,0.173,0.2376
1976,instrumentalness,0.0001,0.0474
1976,speechiness,0.0405,0.0551
1987,danceability,0.6045,0.604
1987,loudness,0.1572,0.1647
1987,liveness,0.133,0.1875
1987,valence,0.653,0.6298
1987,energy,0.784,0.7254
1987,acousticness,0.0458,0.1391
1987,instrumentalness,0.0005,0.062
1987,speechiness,0.0426,0.0635
1978,danceability,0.5775,0.5822
1978,loudness,0.1433,0.1496
1978,liveness,0.127,0.2
1978,valence,0.667,0.6389
1978,energy,0.685,0.666
1978,acousticness,0.0962,0.1763
1978,instrumentalness,0.0002,0.046
1978,speechiness,0.0414,0.0605
1969,danceability,0.525,0.5248
1969,loudness,0.1554,0.1621
1969,liveness,0.134,0.176
1969,valence,0.6475,0.6135
1969,energy,0.638,0.6196
1969,acousticness,0.1995,0.2694
1969,instrumentalness,0.003,0.1084
1969,speechiness,0.0389,0.0645
1986,danceability,0.625,0.6227
1986,loudness,0.1768,0.1717
1986,liveness,0.129,0.1585
1986,valence,0.72,0.6616
