year,feature,median,mean
1973,acousticness,0.251,0.244
1979,danceability,0.586,0.5915
1979,liveness,0.0968,0.1434
1979,valence,0.719,0.659
1979,energy,0.7145,0.6794
1979,acousticness,0.0861,0.1681
1977,danceability,0.5465,0.5379
1977,liveness,0.1355,0.1997
1977,valence,0.587,0.585
1977,energy,0.691,0.6602
1977,acousticness,0.0979,0.2095
1981,danceability,0.565,0.5729
1981,liveness,0.15,0.2111
1981,valence,0.694,0.6724
1981,energy,0.738,0.7116
1981,acousticness,0.109,0.1558
1974,danceability,0.552,0.5275
1974,liveness,0.125,0.1944
1974,valence,0.634,0.6271
1974,energy,0.61,0.6246
1974,acousticness,0.245,0.3004
1970,danceability,0.537,0.5355
1970,liveness,0.1525,0.1912
1970,valence,0.614,0.6304
1970,energy,0.658,0.6265
1970,acousticness,0.196,0.2526
1976,danceability,0.543,0.5301
1976,liveness,0.123,0.1864
1976,valence,0.609,0.597
1976,energy,0.676,0.6469
1976,acousticness,0.13,0.204
1987,danceability,0.552,0.5592
1987,liveness,0.142,0.1992
1987,valence,0.576,0.5855
1987,energy,0.837,0.7514
1987,acousticness,0.0413,0.1229
1978,danceability,0.569,0.5773
1978,liveness,0.127,0.2015
1978,valence,0.667,0.6456
1978,energy,0.711,0.6977
1978,acousticness,0.0791,0.1569
1969,danceability,0.528,0.5363
1969,liveness,0.139,0.1738
1969,valence,0.6475,0.6222
1969,energy,0.6595,0.6316
1969,acousticness,0.1875,0.2369
1986,danceability,0.6,0.6073
1986,liveness,0.129,0.1697
1986,valence,0.683,0.6428
1986,energy,0.751,0.6831
1986,acousticness,0.0771,0.1576
1980,danceability,0.539,0.5538
1980,liveness,0.122,0.1964
1980,valence,0.639,0.625
1980,energy,0.722,0.7009
1980,acousticness,0.103,0.1674
1983,danceability,0.617,0.6014
1983,liveness,0.12,0.1739
1983,valence,0.634,0.6275
1983,energy,0.7865,0.7473
1983,acousticness,0.0591,0.1236
1985,danceability,0.6215,0.6086
1985,liveness,0.104,0.1561
1985,valence,0.639,0.6126
1985,energy,0.6775,0.6621
1985,acousticness,0.1485,0.2223
1989,danceability,0.659,0.622
1989,liveness,0.138,0.1839
1989,valence,0.661,0.6169
1989,energy,0.728,0.7037
1989,acousticness,0.0515,0.1326
1975,danceability,0.499,0.5215
1975,liveness,0.111,0.2083
1975,valence,0.593,0.5724
1975,energy,0.598,0.5787
1975,acousticness,0.2285,0.286
1968,danceability,0.467,0.475
1968,liveness,0.187,0.2254
1968,valence,0.566,0.6113
1968,energy,0.635,0.623
1968,acousticness,0.262,0.227
1971,danceability,0.489,0.5209
1971,liveness,0.124,0.1853
1971,valence,0.531,0.5255
1971,energy,0.722,0.6353
1971,acousticness,0.313,0.3285
1972,danceability,0.5765,0.5608
1972,liveness,0.121,0.1745
1972,valence,0.719,0.6733
1972,energy,0.613,0.6151
1972,acousticness,0.221,0.2827
1967,danceability,0.491,0.4913
1967,liveness,0.123,0.1928
1967,valence,0.588,0.5802
1967,energy,0.583,0.5622
1967,acousticness,0.367,0.3385
1966,danceability,0.482,0.4639
1966,liveness,0.137,0.2453
1966,valence,0.716,0.6249
1966,energy,0.629,0.6464
1966,acousticness,0.14,0.2391
1965,danceability,0.532,0.5542
1965,liveness,0.128,0.1384
1965,valence,0.6975,0.678
1965,energy,0.752,0.6917
1965,acousticness,0.477,0.4201
1964,danceability,0.567,0.5747
1964,liveness,0.1,0.1216
1964,valence,0.723,0.7409
1964,energy,0.915,0.745
1964,acousticness,0.262,0.3874
1963,danceability,0.491,0.4778
1963,liveness,0.0691,0.0821
1963,valence,0.494,0.6218
1963,energy,0.76,0.5622
1963,acousticness,0.52,0.5908
1962,danceability,0.816,0.816
1962,liveness,0.0899,0.0899
1962,valence,0.912,0.912
1962,energy,0.514,0.514
1962,acousticness,0.767,0.767
1957,danceability,0.5195,0.5195
1957,liveness,0.07,0.07
1957,valence,0.9115,0.9115
1957,energy,0.78,0.78
1957,acousticness,0.6025,0.6025
1958,danceability,0.647,0.647
1958,liveness,0.0715,0.0715
1958,valence,0.915,0.915
1958,energy,0.582,0.582
1958,acousticness,0.41,0.41
1961,danceability,0.585,0.585
1961,liveness,0.0908,0.0908
1961,valence,0.433,0.433
1961,energy,0.036,0.036
1961,acousticness,0.859,0.859
1960,danceability,0.346,0.3862
1960,liveness,0.301,0.401
1960,valence,0.599,0.579
1960,energy,0.4345,0.4648
1960,acousticness,0.7255,0.7215
